layer,pc1,pc2,dialect,correct_final
0,-0.02323447616573753,-0.00940272912784547,urd_Latn,0
0,-0.023423942403340045,-0.007846649356661762,urd_Latn,0
0,-0.023940675111919937,-0.007666866279122607,urd_Latn,0
0,-0.022262508073294468,-0.008913182596428289,urd_Latn,0
0,-0.022982376959379228,-0.008067805094806283,urd_Latn,1
0,-0.023104636895737617,-0.008079062169725423,urd_Latn,0
0,-0.023220888843450204,-0.007792566514784326,urd_Latn,1
0,-0.02122500879339811,-0.008102966830111451,urd_Latn,0
0,-0.022937062826768176,-0.006837566642333356,urd_Latn,0
0,-0.022463640074836075,-0.007846831659315143,urd_Latn,0
0,-0.02360969764913519,-0.009410986233883674,urd_Latn,0
0,-0.022552052732938956,-0.0077138541149503834,urd_Latn,0
0,-0.02274623102897558,-0.007790060286524203,urd_Latn,1
0,-0.02357287063888894,-0.008427414454518027,urd_Latn,0
0,-0.02423257398149323,-0.009030864458290523,urd_Latn,0
0,-0.02183615179273882,-0.008615325704684226,urd_Latn,0
0,-0.02173971918844373,-0.008847575976040698,urd_Latn,0
0,-0.022587223349282072,-0.00789283985309381,urd_Latn,0
0,-0.02287293567477818,-0.009026722431997414,urd_Latn,1
0,-0.022927510629757838,-0.00885851845501936,urd_Latn,0
0,-0.022559227884162765,-0.008485429011987159,urd_Latn,0
0,-0.023492602949029474,-0.009637543911768999,urd_Latn,0
0,-0.02426074707286916,-0.009546946913587848,urd_Latn,0
0,-0.023991724697162865,-0.008942634056493034,urd_Latn,0
0,-0.02154120573515655,-0.008126648540210809,urd_Latn,0
